 | Abstract services| #concrete service  | W0 	 	 | W1 	| W2 	 	| W3 	 	| W4 	 	 |
 | AS14280 			|  2 				 |   567 	 |567 	|  566  	|   567 	|  567 	     |
 | AS8422 			|  5 				 |   1389 	 |1389 	|  1389  	|   1389 	|  1389 	 | 
 | AS17233 			|  8 				 |   4261 	 |4261 	|  4261  	|   4261 	|  4261 	 | 
 | AS8549 			|  1 				 |   2578 	 |2578 	|  2578  	|   2578 	|  2578 	 | 
 | AS41572 			|  2 				 |   2095 	 |2095 	|  2095  	|   2095 	|  2095 	 | 
 | AS5071 			|  1 				 |   577 	 |577 	|  577  	|   577 	|  577  	 |
 | AS16245 			|  2 				 |   1000 	 |1018 	|  1000  	|   1018 	|  1000 	 | 
 | AS15290 			|  6 				 |   536 	 |574 	|  536  	|   536 	|  536 	     |
 | AS8542 			|  6 				 |   2081 	 |2090 	|  2081  	|   2090 	|  2081 	 | 
 | AS31815 			|  11 				 |   4414 	 |4414 	|  4236  	|   4414 	|  4414 	 | 
 | AS20 			|  28 				 |   3358 	 |3358 	|  3358  	|   3358 	|  3358 	 | 
 | AS31817 			|  3 				 |   3996 	 |3996 	|  3996  	|   3996 	|  3996 	 | 
 | AS5421 			|  2 				 |   213 	 |213 	|  213  	|   213 	|  213  	 |
 | AS36692 			|  3 				 |   3567 	 |3567 	|  3567  	|   3567 	|  3567 	 | 
 | AS13727 			|  4 				 |   1252 	 |1250 	|  1250  	|   1252 	|  1252 	 | 
 | AS34235 			|  4 				 |   1141 	 |1208 	|  1141  	|   1141 	|  1141 	 | 
 | AS11440 			|  2 				 |   4424 	 |4424 	|  4424  	|   4424 	|  4424 	 | 
 | AS34997 			|  1 				 |   3064 	 |3064 	|  3064  	|   3064 	|  3064 	 | 
 | AS31216 			|  1 				 |   1197 	 |1197 	|  1197  	|   1197 	|  1197 	 | 
 | AS5381 			|  4 				 |   2122 	 |2122 	|  2122  	|   2122 	|  2122 	 | 
 | AS25074 			|  2 				 |   1430 	 |1430 	|  1430  	|   1430 	|  1430 	 | 
 | AS16438 			|  1 				 |   585 	 |585 	|  585  	|   585 	|  585   	 |
 | AS51006 			|  1 				 |   903 	 |903 	|  903  	|   903 	|  903  	 |
 | AS8151 			|  3 				 |   1918 	 |1919 	|  1918  	|   1919 	|  1919 	 | 
 | AS4657 			|  2 				 |   2323 	 |2323 	|  2323  	|   2323 	|  2323 	 | 
 | AS38283 			|  1 				 |   828 	 |828 	|  828  	|   828 	|  828 	     |
 | AS9308 			|  5 				 |   748 	 |801 	|  748  	|   748 	|  748  	 |
 | AS33808 			|  1 				 |   1403 	 |1403 	|  1403  	|   1403 	|  1403 	 | 
 | AS17755 			|  1 				 |   36 	 |36 	|  36   	|   36  	|  36   	 |
 | AS13213 			|  1 				 |   3069 	 |3069 	|  3069  	|   3069 	|  3069 	 | 
 | AS13193 			|  3 				 |   1096 	 |1096 	|  1096  	|   1096 	|  1096 	 | 
 | AS31581 			|  1 				 |   1528 	 |1528 	|  1528  	|   1528 	|  1528 	 | 
 | AS39570 			|  5 				 |   2489 	 |2489 	|  2489  	|   2489 	|  2489 	 | 
 | AS9892 			|  1 				 |   2326 	 |2326 	|  2326  	|   2326 	|  2326 	 | 
 | AS39392 			|  2 				 |   942 	 |942 	|  942  	|   942 	|  942  	 |
 | AS17633 			|  1 				 |   842 	 |842 	|  842  	|   842 	|  842 	     |
 | AS17746 			|  1 				 |   2049 	 |2049 	|  2049  	|   2049 	|  2049 	 | 
 | AS17638 			|  1 				 |   743 	 |743 	|  743  	|   743 	|  743  	 |
 | AS24218 			|  1 				 |   1903 	 |1903 	|  1903  	|   1903 	|  1903 	 | 
 | AS3701 			|  3 				 |   4477 	 |4477 	|  4477  	|   4477 	|  4477 	 | 
 | AS4812 			|  11 				 |   862 	 |862 	|  760  	|   862 	|  862 	     |
 | AS5409 			|  2 				 |   1440 	 |1441 	|  1440  	|   1441 	|  1440 	 | 
 | AS4134 			|  41 				 |   846 	 |846 	|  846  	|   846 	|  846  	 |
 | AS22329 			|  4 				 |   4149 	 |4149 	|  4149  	|   4149 	|  4149 	 | 
 | AS10318 			|  2 				 |   16 	 |16 	|  16   	|   16  	|  16   	 |
 | AS6813 			|  1 				 |   2438 	 |2438 	|  2438  	|   2438 	|  2438 	 | 
 | AS6810 			|  1 				 |   1612 	 |1612 	|  1612  	|   1612 	|  1612 	 | 
 | AS10316 			|  3 				 |   4457 	 |4457 	|  4457  	|   4457 	|  4457 	 | 
 | AS24134 			|  2 				 |   771 	 |771 	|  771  	|   771 	|  771  	 |
 | AS7132 			|  5 				 |   4211 	 |4211 	|  4211  	|   4211 	|  4211 	 | 
 | AS20102 			|  1 				 |   4355 	 |4355 	|  4355  	|   4355 	|  4355 	 | 
 | AS29668 			|  1 				 |   3063 	 |3063 	|  3063  	|   3063 	|  3063 	 | 
 | AS3389 			|  4 				 |   4106 	 |4106 	|  4109  	|   4106 	|  4106 	 | 
 | AS3790 			|  1 				 |   900 	 |900 	|  900  	|   900 	|  900  	 |
 | AS8928 			|  2 				 |   3045 	 |3045 	|  1202  	|   3045 	|  3045 	 | 
 | AS81 			|  5 				 |   509 	 |510 	|  509  	|   510 	|  510 	     |
 | AS15456 			|  1 				 |   1479 	 |1479 	|  1479  	|   1479 	|  1479 	 | 
 | AS26900 			|  8 				 |   3915 	 |3915 	|  3915  	|   3915 	|  3915 	 | 
 | AS7788 			|  1 				 |   558 	 |558 	|  558  	|   558 	|  558  	 |
 | AS3561 			|  25 				 |   3647 	 |3579 	|  3647  	|   3579 	|  3647 	 | 
 | AS42032 			|  1 				 |   2274 	 |2274 	|  2274  	|   2274 	|  2274 	 | 
 | AS3243 			|  4 				 |   2194 	 |2194 	|  2194  	|   2194 	|  2194 	 | 
 | AS3242 			|  1 				 |   1833 	 |1833 	|  1833  	|   1833 	|  1833 	 | 
 | AS17841 			|  7 				 |   2218 	 |2218 	|  2218  	|   2218 	|  2218 	 | 
 | AS188 			|  2 				 |   4410 	 |4410 	|  4410  	|   4410 	|  4410 	 | 
 | AS14642 			|  2 				 |   559 	 |559 	|  559  	|   559 	|  559  	 |
 | AS13009 			|  2 				 |   3009 	 |3009 	|  3009  	|   3009 	|  3009 	 | 
 | AS6147 			|  1 				 |   2126 	 |2126 	|  2126  	|   2126 	|  2126 	 | 
 | AS26347 			|  3 				 |   4334 	 |4334 	|  4334  	|   4334 	|  4334 	 | 
 | AS20248 			|  1 				 |   831 	 |831 	|  831  	|   831 	|  831  	 |
 | AS6785 			|  2 				 |   955 	 |956 	|  955  	|   955 	|  955  	 |
 | AS8659 			|  4 				 |   2543 	 |2545 	|  2543  	|   2545 	|  2545 	 | 
 | AS45061 			|  12 				 |   648 	 |649 	|  648  	|   652 	|  652  	 |
 | AS24853 			|  1 				 |   989 	 |989 	|  989  	|   989 	|  989  	 |
 | AS44249 			|  10 				 |   2171 	 |2173 	|  2171  	|   2173 	|  2173 	 | 
 | AS702 			|  16 				 |   1147 	 |1147 	|  156  	|   1147 	|  1147 	 | 
 | AS703 			|  1 				 |   2596 	 |2596 	|  2596  	|   2596 	|  2596 	 | 
 | AS701 			|  19 				 |   3493 	 |3491 	|  3493  	|   3491 	|  3491 	 | 
 | AS2764 			|  2 				 |   37 	 |37 	|  37   	|   37  	|  37   	 |
 | AS8741 			|  11 				 |   1432 	 |1432 	|  1432  	|   1432 	|  1432 	 | 
 | AS22070 			|  2 				 |   3661 	 |3662 	|  3661  	|   3662 	|  3662 	 | 
 | AS20857 			|  1 				 |   2028 	 |2028 	|  2028  	|   2028 	|  2028 	 | 
 | AS1241 			|  2 				 |   1502 	 |1502 	|  1502  	|   1502 	|  1502 	 | 
 | AS26010 			|  4 				 |   3622 	 |3622 	|  3622  	|   3622 	|  3622 	 | 
 | AS10912 			|  3 				 |   4172 	 |4172 	|  4172  	|   4172 	|  4172 	 | 
 | AS44386 			|  2 				 |   2281 	 |2281 	|  2281  	|   2281 	|  2281 	 | 
 | AS11588 			|  1 				 |   4103 	 |4103 	|  4103  	|   4103 	|  4103 	 | 
 | AS11426 			|  50 				 |   3163 	 |3163 	|  3207  	|   3163 	|  3163 	 | 
 | AS1128 			|  5 				 |   1964 	 |1965 	|  1964  	|   1964 	|  1964 	 | 
 | AS45014 			|  1 				 |   3068 	 |3068 	|  3068  	|   3068 	|  3068 	 | 
 | AS2611 			|  10 				 |   132 	 |140 	|  132  	|   135 	|  132  	 |
 | AS16128 			|  1 				 |   1190 	 |1190 	|  1190  	|   1190 	|  1190 	 | 
 | AS12978 			|  4 				 |   2648 	 |2648 	|  2648  	|   2648 	|  2648 	 | 
 | AS25518 			|  2 				 |   1774 	 |1775 	|  1774  	|   1774 	|  1774 	 | 
 | AS14584 			|  4 				 |   3894 	 |3896 	|  3894  	|   3896 	|  3894 	 | 
 | AS224 			|  7 				 |   2075 	 |2075 	|  2115  	|   2075 	|  2075 	 | 
 | AS14745 			|  1 				 |   4094 	 |4094 	|  4094  	|   4094 	|  4094 	 | 
 | AS1835 			|  5 				 |   1023 	 |1023 	|  1023  	|   1023 	|  1023 	 | 
 | AS1836 			|  1 				 |   2570 	 |2570 	|  2570  	|   2570 	|  2570 	 | 
 | AS15694 			|  1 				 |   2186 	 |2186 	|  2186  	|   2186 	|  2186 	 | 
 | AS23992 			|  1 				 |   81 	 |81 	|  81   	|   81  	|  81   	 |
 | AS8434 			|  7 				 |   2465 	 |2465 	|  2465  	|   2465 	|  2465 	 | 
 | AS16338 			|  1 				 |   2433 	 |2433 	|  2433  	|   2433 	|  2433 	 | 
 | AS16339 			|  2 				 |   2911 	 |2912 	|  2911  	|   2912 	|  2912 	 | 
 | AS131 			|  4 				 |   4060 	 |4060 	|  4060  	|   4060 	|  4060 	 | 
 | AS15348 			|  3 				 |   3731 	 |3732 	|  3731  	|   3732 	|  3732 	 | 
 | AS16237 			|  4 				 |   1959 	 |1960 	|  1959  	|   1960 	|  1959 	 | 
 | AS5432 			|  1 				 |   158 	 |158 	|  158  	|   158 	|  158  	 |
 | AS49572 			|  1 				 |   85 	 |85 	|  85   	|   85  	|  85    	 |
 | AS15180 			|  1 				 |   181 	 |181 	|  181  	|   181 	|  181  	 |
 | AS31827 			|  3 				 |   4341 	 |4342 	|  4341  	|   4342 	|  4342 	 | 
 | AS32 			|  9 				 |   4388 	 |4388 	|  4387  	|   4388 	|  4388 	 | 
 | AS34225 			|  1 				 |   1467 	 |1467 	|  1467  	|   1467 	|  1467 	 | 
 | AS10481 			|  1 				 |   14 	 |14 	|  14   	|   14  	|  14 	     |
 | AS30190 			|  2 				 |   4409 	 |4409 	|  4408  	|   4409 	|  4409 	 | 
 | AS5396 			|  1 				 |   1838 	 |1838 	|  1838  	|   1838 	|  1838 	 | 
 | AS9269 			|  1 				 |   1510 	 |1510 	|  1510  	|   1510 	|  1510 	 | 
 | AS9268 			|  4 				 |   24 	 |24 	|  24   	|   24  	|  24   	 |
 | AS40629 			|  3 				 |   3608 	 |3608 	|  3608  	|   3608 	|  3608 	 | 
 | AS9143 			|  8 				 |   1974 	 |1991 	|  1974  	|   1991 	|  1991 	 | 
 | AS23844 			|  6 				 |   671 	 |671 	|  671  	|   671 	|  671  	 |
 | AS15236 			|  1 				 |   1921 	 |1921 	|  1921  	|   1921 	|  1921 	 | 
 | AS39707 			|  1 				 |   2301 	 |2301 	|  2301  	|   2301 	|  2301 	 | 
 | AS11845 			|  3 				 |   2364 	 |2364 	|  2364  	|   2364 	|  2364 	 | 
 | AS8220 			|  15 				 |   160 	 |1182 	|  160  	|   1182 	|  1182 	 | 
 | AS39369 			|  1 				 |   2519 	 |2519 	|  2519  	|   2519 	|  2519 	 | 
 | AS9318 			|  6 				 |   2229 	 |2243 	|  2229  	|   2243 	|  2243 	 | 
 | AS13180 			|  1 				 |   1825 	 |1825 	|  1825  	|   1825 	|  1825 	 | 
 | AS9317 			|  1 				 |   2239 	 |2239 	|  2239  	|   2239 	|  2239 	 | 
 | AS5486 			|  13 				 |   1631 	 |1631 	|  1631  	|   1631 	|  1631 	 | 
 | AS4230 			|  8 				 |   168 	 |199 	|  167  	|   199 	|  199  	 |
 | AS5483 			|  1 				 |   1527 	 |1527 	|  1527  	|   1527 	|  1527 	 | 
 | AS29278 			|  1 				 |   1524 	 |1524 	|  1524  	|   1524 	|  1524 	 | 
 | AS22489 			|  3 				 |   210 	 |211 	|  210  	|   211 	|  211  	 |
 | AS29276 			|  2 				 |   2343 	 |2343 	|  2343  	|   2343 	|  2343 	 | 
 | AS9929 			|  1 				 |   740 	 |740 	|  740  	|   740 	|  740   	 |
 | AS18245 			|  1 				 |   796 	 |796 	|  796  	|   796 	|  796  	 |
 | AS9889 			|  2 				 |   2061 	 |2061 	|  2061  	|   2061 	|  2061 	 | 
 | AS9924 			|  1 				 |   2599 	 |2599 	|  2599  	|   2599 	|  2599 	 | 
 | AS18563 			|  1 				 |   579 	 |579 	|  579  	|   579 	|  579  	 |
 | AS29873 			|  1 				 |   4389 	 |4389 	|  4389  	|   4389 	|  4389 	 | 
 | AS35171 			|  1 				 |   2437 	 |2437 	|  2437  	|   2437 	|  2437 	 | 
 | AS15846 			|  2 				 |   106 	 |106 	|  106  	|   106 	|  106   	 |
 | AS43200 			|  3 				 |   2087 	 |2089 	|  2087  	|   2089 	|  2089 	 | 
 | AS16637 			|  3 				 |   2353 	 |2353 	|  2353  	|   2353 	|  2353 	 | 
 | AS3307 			|  3 				 |   2120 	 |2120 	|  2091  	|   2120 	|  2120 	 | 
 | AS3301 			|  6 				 |   2506 	 |2522 	|  2506  	|   2522 	|  2522 	 | 
 | AS3303 			|  1 				 |   2577 	 |2577 	|  2577  	|   2577 	|  2577 	 | 
 | AS29471 			|  3 				 |   1419 	 |1419 	|  1419  	|   1419 	|  1419 	 | 
 | AS12406 			|  1 				 |   121 	 |121 	|  121  	|   121 	|  121 	     |
 | AS4538 			|  3 				 |   660 	 |660 	|  660  	|   660 	|  660  	 |
 | AS39700 			|  1 				 |   2030 	 |2030 	|  2030  	|   2030 	|  2030 	 | 
 | AS21195 			|  1 				 |   2528 	 |2528 	|  2528  	|   2528 	|  2528 	 | 
 | AS9811 			|  3 				 |   695 	 |697 	|  695  	|   695 	|  695  	 |
 | AS15598 			|  7 				 |   1425 	 |1425 	|  1425  	|   1425 	|  1425 	 | 
 | AS34779 			|  9 				 |   2332 	 |2335 	|  2332  	|   2335 	|  2335 	 | 
 | AS17920 			|  1 				 |   38 	 |38 	|  38   	|    38 	|  38   	 |
 | AS20130 			|  2 				 |   3695 	 |3695 	|  3695  	|   3695 	|  3695 	 | 
 | AS4758 			|  1 				 |   1562 	 |1562 	|  1562  	|   1562 	|  1562 	 | 
 | AS25847 			|  1 				 |   4311 	 |4311 	|  4311  	|   4311 	|  4311 	 | 
 | AS4750 			|  1 				 |   2626 	 |2626 	|  2626  	|   2626 	|  2626 	 | 
 | AS4755 			|  13 				 |   1536 	 |1536 	|  1536  	|   1536 	|  1536 	 | 
 | AS8912 			|  1 				 |   3088 	 |3088 	|  3088  	|   3088 	|  3088 	 | 
 | AS8851 			|  1 				 |   3037 	 |3037 	|  3037  	|   3037 	|  3037 	 | 
 | AS73 			|  4 				 |   3911 	 |3914 	|  3911  	|   3914 	|  3914 	 | 
 | AS196724 		|  3 				 |   978 	 |978 	|  978  	|   978 	|  978 	     |
 | AS15935 			|  9 				 |   935 	 |935 	|  935  	|   935 	|  935  	 |
 | AS26496 			|  98 				 |   3305 	 |3305 	|  3305  	|   3305 	|  3305 	 | 
 | AS35228 			|  1 				 |   3085 	 |3085 	|  3085  	|   3085 	|  3085 	 | 
 | AS7654 			|  3 				 |   2618 	 |2618 	|  2618  	|   2618 	|  2618 	 | 
 | AS6700 			|  1 				 |   2310 	 |2310 	|  2310  	|   2310 	|  2310 	 | 
 | AS6706 			|  1 				 |   951 	 |951 	|  951  	|   951 	|  951  	 |
 | AS42418 			|  1 				 |   1026 	 |1026 	|  1026  	|   1026 	|  1026 	 | 
 | AS1659 			|  1 				 |   2585 	 |2585 	|  2585  	|   2585 	|  2585 	 | 
 | AS2119 			|  2 				 |   2108 	 |2108 	|  2108  	|   2108 	|  2108 	 | 
 | AS2110 			|  2 				 |   1572 	 |1572 	|  1572  	|   1572 	|  1572 	 | 
 | AS2116 			|  1 				 |   2104 	 |2104 	|  2104  	|   2104 	|  2104 	 | 
 | AS7474 			|  1 				 |   61 	 |61 	|  61   	|   61  	|  61   	 |
 | AS25351 			|  1 				 |   2111 	 |2111 	|  2111  	|   2111 	|  2111 	 | 
 | AS558 			|  3 				 |   4267 	 |4267 	|  4267  	|   4267 	|  4267 	 | 
 | AS553 			|  2 				 |   1448 	 |1466 	|  1448  	|   1466 	|  1466 	 | 
 | AS6677 			|  2 				 |   1529 	 |1529 	|  1529  	|   1529 	|  1529 	 | 
 | AS12859 			|  7 				 |   126 	 |2024 	|  125  	|   126 	|  126  	 |
 | AS7377 			|  5 				 |   3778 	 |3778 	|  3778  	|   3778 	|  3778 	 | 
 | AS36289 			|  2 				 |   3642 	 |3642 	|  3642  	|   3642 	|  3642 	 | 
 | AS25593 			|  6 				 |   1169 	 |1169 	|  1169  	|   1169 	|  1169 	 | 
 | AS44253 			|  2 				 |   1980 	 |1980 	|  1980  	|   1980 	|  1980 	 | 
 | AS49498 			|  2 				 |   909 	 |908 	|  908  	|   909 	|  909 	     |
 | AS48221 			|  1 				 |   2441 	 |2441 	|  2441  	|   2441 	|  2441 	 | 
 | AS5602 			|  1 				 |   1815 	 |1815 	|  1815  	|   1815 	|  1815 	 | 
 | AS36351 			|  15 				 |   4269 	 |4269 	|  4269  	|   4269 	|  4269 	 | 
 | AS15756 			|  3 				 |   2283 	 |2298 	|  2283  	|   2298 	|  2298 	 | 
 | AS25367 			|  1 				 |   153 	 |153 	|  153  	|   153 	|  153  	 |
 | AS786 			|  245 				 |   3013 	 |3013 	|  3013  	|   3013 	|  3013 	 | 
 | AS7575 			|  2 				 |   53 	 |53 	|  53   	|   53  	|  53   	 |
 | AS40561 			|  4 				 |   3665 	 |3665 	|  3665  	|   3665 	|  3665 	 | 
 | AS15879 			|  4 				 |   2029 	 |2029 	|  1961  	|   2029 	|  2029 	 | 
 | AS21293 			|  2 				 |   2098 	 |2098 	|  2098  	|   2098 	|  2098 	 | 
 | AS19994 			|  1 				 |   3104 	 |3104 	|  3104  	|   3104 	|  3104 	 | 
 | AS10929 			|  4 				 |   4065 	 |4066 	|  4065  	|   4066 	|  4065 	 | 
 | AS36031 			|  3 				 |   539 	 |539 	|  539  	|   539 	|  539  	 |
 | AS603 			|  1 				 |   578 	 |578 	|  578  	|   578 	|  578  	 |
 | AS15085 			|  2 				 |   554 	 |555 	|  554  	|   554 	|  554  	 |
 | AS16135 			|  3 				 |   2645 	 |2645 	|  2645  	|   2645 	|  2645 	 | 
 | AS21844 			|  13 				 |   4163 	 |4161 	|  4163  	|   4163 	|  4163 	 | 
 | AS19611 			|  1 				 |   200 	 |200 	|  200  	|   200 	|  200  	 |
 | AS42876 			|  2 				 |   958 	 |958 	|  958  	|   958 	|  958  	 |
 | AS12637 			|  2 				 |   1801 	 |1801 	|  1801  	|   1801 	|  1801 	 | 
 | AS42871 			|  1 				 |   117 	 |117 	|  117  	|   117 	|  117  	 |
 | AS12731 			|  4 				 |   1361 	 |1378 	|  1361  	|   1378 	|  1361 	 | 
 | AS237 			|  6 				 |   3523 	 |816 	|  3523  	|   3523 	|  3523 	 | 
 | AS12735 			|  1 				 |   2661 	 |2661 	|  2661  	|   2661 	|  2661 	 | 
 | AS195 			|  13 				 |   4188 	 |4027 	|  4188  	|   4188 	|  4188 	 | 
 | AS6429 			|  1 				 |   614 	 |614 	|  614  	|   614 	|  614  	 |
 | AS1226 			|  3 				 |   4010 	 |4012 	|  4010  	|   4010 	|  4010 	 | 
 | AS1221 			|  2 				 |   79 	 |79 	|  43   	|   79  	|  79   	 |
 | AS41799 			|  1 				 |   217 	 |217 	|  217  	|   217 	|  217  	 |
 | AS22908 			|  1 				 |   1917 	 |1917 	|  1917  	|   1917 	|  1917 	 | 
 | AS8685 			|  1 				 |   2663 	 |2663 	|  2663  	|   2663 	|  2663 	 | 
 | AS8523 			|  1 				 |   2515 	 |2515 	|  2515  	|   2515 	|  2515 	 | 
 | AS21203 			|  1 				 |   1177 	 |1177 	|  1177  	|   1177 	|  1177 	 | 
 | AS49544 			|  4 				 |   1999 	 |1999 	|  1999  	|   1999 	|  1999 	 | 
 | AS9150 			|  2 				 |   2010 	 |2010 	|  2010  	|   2010 	|  2010 	 | 
 | AS8358 			|  2 				 |   1521 	 |1522 	|  1521  	|   1521 	|  1521 	 | 
 | AS34960 			|  3 				 |   2565 	 |2565 	|  2565  	|   2565 	|  2565 	 | 
 | AS8452 			|  1 				 |   1034 	 |1034 	|  1034  	|   1034 	|  1034 	 | 
 | AS40634 			|  1 				 |   2643 	 |2643 	|  2643  	|   2643 	|  2643 	 | 
 | AS5089 			|  4 				 |   3046 	 |3046 	|  3046  	|   3046 	|  3046 	 | 
 | AS13243 			|  2 				 |   2070 	 |2070 	|  2070  	|   2070 	|  2070 	 | 
 | AS680 			|  44 				 |   1401 	 |1401 	|  1398  	|   1401 	|  1401 	 | 
 | AS8 			    |  3 				 |   3667 	 |3668 	|  3667  	|   3668 	|  3668 	 |
 | AS9328 			|  1 				 |   82 	 |82 	|  82   	|   82  	|  82 	     |
 | AS38550 			|  4 				 |   2608 	 |2608 	|  2608  	|   2608 	|  2608 	 | 
 | AS48825 			|  1 				 |   3101 	 |3101 	|  3101  	|   3101 	|  3101 	 | 
 | AS21050 			|  1 				 |   1895 	 |1895 	|  1895  	|   1895 	|  1895 	 | 
 | AS13649 			|  1 				 |   4185 	 |4185 	|  4185  	|   4185 	|  4185 	 | 
 | AS25124 			|  2 				 |   1593 	 |1593 	|  1593  	|   1593 	|  1593 	 | 
 | AS13768 			|  25 				 |   3393 	 |3393 	|  3393  	|   3393 	|  3393 	 | 
 | AS5723 			|  6 				 |   3832 	 |3832 	|  3832  	|   3832 	|  3832 	 | 
 | AS39554 			|  2 				 |   982 	 |982 	|  982  	|   982 	|  982 	     |
 | AS4847 			|  6 				 |   856 	 |856 	|  856  	|   856 	|  856   	 |
 | AS20738 			|  1 				 |   3134 	 |3134 	|  3134  	|   3134 	|  3134 	 | 
 | AS29863 			|  1 				 |   3607 	 |3607 	|  3607  	|   3607 	|  3607 	 | 
 | AS16629 			|  1 				 |   619 	 |619 	|  619  	|   619 	|  619  	 |
 | AS4445 			|  1 				 |   3129 	 |3129 	|  3129  	|   3129 	|  3129 	 | 
 | AS3313 			|  2 				 |   1813 	 |1813 	|  1813  	|   1813 	|  1813 	 | 
 | AS3316 			|  4 				 |   2260 	 |2261 	|  2260  	|   2261 	|  2261 	 | 
 | AS21603 			|  1 				 |   1916 	 |1916 	|  1916  	|   1916 	|  1916 	 | 
 | AS39309 			|  6 				 |   3021 	 |3021 	|  3021  	|   3021 	|  3021 	 | 
 | AS4837 			|  29 				 |   739 	 |791 	|  680  	|   791 	|  739  	 |
 | AS9803 			|  1 				 |   818 	 |818 	|  818  	|   818 	|  818  	 |
 | AS18756 			|  2 				 |   4035 	 |4035 	|  4035  	|   4036 	|  4036 	 | 
 | AS18990 			|  3 				 |   3756 	 |3756 	|  3756  	|   3756 	|  3756 	 | 
 | AS2847 			|  2 				 |   1897 	 |1897 	|  1897  	|   1897 	|  1897 	 | 
 | AS7018 			|  2 				 |   4393 	 |4393 	|  4393  	|   4393 	|  4393 	 | 
 | AS10201 			|  1 				 |   1557 	 |1557 	|  1557  	|   1557 	|  1557 	 | 
 | AS17668 			|  2 				 |   56 	 |56 	|  56    	|   56  	|  56   	 |
 | AS27617 			|  3 				 |   4446 	 |4446 	|  4445  	|   4446 	|  4446 	 | 
 | AS29311 			|  2 				 |   2003 	 |2003 	|  2003  	|   2003 	|  2003 	 | 
 | AS8190 			|  3 				 |   4067 	 |4068 	|  4067  	|   4068 	|  4068 	 | 
 | AS39606 			|  2 				 |   1175 	 |1175 	|  1175  	|   1175 	|  1175 	 | 
 | AS8904 			|  5 				 |   2264 	 |2266 	|  2264  	|   2266 	|  2266 	 | 
 | AS6848 			|  1 				 |   161 	 |161 	|  161  	|   161 	|  161  	 |
 | AS35787 			|  1 				 |   3137 	 |3137 	|  3137  	|   3137 	|  3137 	 | 
 | AS3265 			|  3 				 |   4380 	 |4380 	|  4380  	|   4380 	|  4380 	 | 
 | AS21229 			|  3 				 |   1519 	 |1519 	|  1519  	|   1519 	|  1519 	 | 
 | AS34718 			|  1 				 |   2296 	 |2296 	|  2296  	|   2296 	|  2296 	 | 
 | AS35625 			|  1 				 |   1217 	 |1217 	|  1217  	|   1217 	|  1217 	 | 
 | AS43541 			|  3 				 |   913 	 |915 	|  913  	|   915 	|  915 	     |
 | AS24416 			|  1 				 |   825 	 |825 	|  825  	|   825 	|  825 	     |
 | AS24141 			|  1 				 |   809 	 |809 	|  809  	|   809 	|  809   	 |
 | AS2519 			|  4 				 |   1857 	 |1859 	|  1857  	|   1859 	|  1857 	 | 
 | AS42949 			|  2 				 |   1995 	 |1995 	|  1994  	|   1995 	|  1995 	 | 
 | AS2514 			|  2 				 |   1889 	 |1889 	|  1889  	|   1889 	|  1889 	 | 
 | AS549 			|  1 				 |   589 	 |589 	|  589  	|   589 	|  589   	 |
 | AS2107 			|  1 				 |   2347 	 |2347 	|  2347  	|   2347 	|  2347 	 | 
 | AS32719 			|  2 				 |   3736 	 |3736 	|  3736  	|   3736 	|  3736 	 | 
 | AS32309 			|  1 				 |   4003 	 |4003 	|  4003  	|   4003 	|  4003 	 | 
 | AS18125 			|  5 				 |   1861 	 |1862 	|  1861  	|   1862 	|  1861 	 | 
 | AS14064 			|  2 				 |   3352 	 |3352 	|  3352  	|   3352 	|  3352 	 | 
 | AS12843 			|  1 				 |   1495 	 |1495 	|  1495  	|   1495 	|  1495 	 | 
 | AS12845 			|  1 				 |   2431 	 |2431 	|  2431  	|   2431 	|  2431 	 | 
 | AS3216 			|  1 				 |   2286 	 |2286 	|  2286  	|   2286 	|  2286 	 | 
 | AS2200 			|  28 				 |   1120 	 |1108 	|  1120  	|   1052 	|  1120 	 | 
 | AS3215 			|  4 				 |   1185 	 |1185 	|  1185  	|   1185 	|  1185 	 | 
 | AS26228 			|  6 				 |   2077 	 |2080 	|  2077  	|   2080 	|  2077 	 | 
 | AS19024 			|  8 				 |   3929 	 |3929 	|  3924  	|   3929 	|  3929 	 | 
 | AS24931 			|  3 				 |   3026 	 |3026 	|  3026  	|   3026 	|  3026 	 | 
 | AS12907 			|  2 				 |   1450 	 |1450 	|  1450  	|   1450 	|  1450 	 | 
 | AS25721 			|  1 				 |   1511 	 |1511 	|  1511  	|   1511 	|  1511 	 | 
 | AS25689 			|  1 				 |   565 	 |565 	|  565  	|   565 	|  565  	 |
 | AS11343 			|  3 				 |   4442 	 |4442 	|  4444  	|   4442 	|  4442 	 | 
 | AS14618 			|  4 				 |   80 	 |80 	|  80   	|   80  	|  80   	 |
 | AS30958 			|  1 				 |   1822 	 |1822 	|  1822  	|   1822 	|  1822 	 | 
 | AS6503 			|  1 				 |   1922 	 |1922 	|  1922  	|   1922 	|  1922 	 | 
 | AS26134 			|  2 				 |   65 	 |65 	|  65   	|   65  	|  65   	 |
 | AS40142 			|  7 				 |   3740 	 |3767 	|  3740  	|   3740 	|  3740 	 | 
 | AS1103 			|  3 				 |   1989 	 |1992 	|  1989  	|   1992 	|  1992 	 | 
 | AS25532 			|  1 				 |   2302 	 |2302 	|  2302  	|   2302 	|  2302 	 | 
 | AS45032 			|  1 				 |   1010 	 |1010 	|  1010  	|   1010 	|  1010 	 | 
